% of Teachers Licensed,Percent of Experienced Teachers,Percent of Teachers without Waiver or Provisional License,Percent Teaching In-Field,School Code,School Name,School Name - District,School Type,Students(21-22),Total # of Teachers (FTE),% Student Disciplined(21-22),Student/Teacher Ratio (2019-20),Student/Teacher Ratio (2020-21),Student/Teacher Ratio (2021-22),Students Disciplined(19-20),Students Disciplined(20-21),Students Disciplined(21-22)
  99.2,  88.8,  91.7,  92.9,00200505,Barnstable High,Barnstable - Barnstable High,Public School,"   1,897",     144.1,8.592514497,12.5,12.3,12.2,86,94,163
  99.4,  87.5,  92.2,  97.3,02390515,Plymouth South High,Plymouth - Plymouth South High,Public School,"   1,067",      99.5,11.808809747,9.9,10.7,10,79,86,126
  99.4,  94.7,  94.9,  94.3,08250605,Gr New Bedford Vocational Technical,Greater New Bedford Regional Vocational Technical - Gr New Bedford Vocational Technical,Public School,"   2,133",     170.7,8.485700891,12.2,12.4,10.8,182,85,181
 100.0,  57.4,  82.2,  98.1,00950305, Crowell,Fall River - Talbot Innovation School,Public School,     701,      47.2,23.109843081,12.6,11.7,11.6,80,74,162
 100.0,  89.9,  97.5, 100.0,02390405,Plymouth Commun Intermediate,Plymouth - Plymouth Commun Intermediate,Public School,     945,      79.0,11.322751323,12.3,12.8,11.2,79,71,107
  98.7,  87.4,  91.8,  93.4,00440505,Brockton High,Brockton - Brockton High,Public School,"   4,114",     242.1,24.550315994,16,16.7,15.1,848,67,1010
 100.0,  91.4,  89.5,  92.8,08320605,Montachusett Regional Vocational Technical,Montachusett Regional Vocational Technical - Montachusett Regional Vocational Technical,Public School,"   1,429",     105.0,12.806158153,12.7,13.5,12.5,136,64,183
 100.0,  94.0,  96.0,  99.1,02390505,Plymouth North High,Plymouth - Plymouth North High,Public School,"   1,356",     103.8,12.536873156,11.8,12.2,12.5,103,62,170
  99.4,  87.8,  88.0,  96.3,02930505,Taunton High,Taunton - Taunton High,Public School,"   2,871",     165.0,11.598746082,16.3,16.4,16.6,335,61,333
  94.9,  79.9,  76.6,  84.1,08150605,Cape Cod Region Vocational Technical,Cape Cod Regional Vocational Technical - Cape Cod Region Vocational Technical,Public School,     670,      58.6,11.940298507,10.5,10.7,9.7,57,55,80
  99.7,  91.4,  93.9,  97.9,03360505,Weymouth High School,Weymouth - Weymouth High School,Public School,"   2,368",     179.2,13.386824324,13,12.5,12.6,231,53,317
  99.1,  83.5,  88.7,  93.0,00160505,Attleboro High,Attleboro - Attleboro High,Public School,"   1,829",     114.7,9.294696555,15.6,15.6,15.3,167,50,170
  98.4,  92.9,  92.7,  93.0,08710605,Shawsheen Valley Vocational Technical High School,Shawsheen Valley Regional Vocational Technical - Shawsheen Valley Vocational Technical High School,Public School,"   1,324",     124.6,6.344410876,9.9,10.5,10.2,77,47,84
  98.7,  87.7,  94.8,  94.9,01850305,Stacy Middle,Milford - Stacy Middle,Public School,"   1,111",      76.4,10.621062106,12.9,13.5,12.6,40,45,118
  97.9,  77.4,  87.3,  95.9,01280505,Haverhill High,Haverhill - Haverhill High,Public School,"   2,035",     141.6,13.513513514,13.3,13.1,13.8,117,44,275
  93.4,  86.7,  71.8,  90.3,08730605,So Shore Vocational Technical High,South Shore Regional Vocational Technical - So Shore Vocational Technical High,Public School,     658,      60.2,7.446808511,10,10.7,10.5,54,44,49
  99.2,  88.3,  86.8,  97.4,08280605,Gr Lowell Regional Vocational Technical,Greater Lowell Regional Vocational Technical - Gr Lowell Regional Vocational Technical,Public School,"   2,306",     193.1,8.065915004,12.1,11.9,11.5,160,41,186
  98.3,  83.0,  84.1,  91.0,00950505,B M C Durfee High,Fall River - B M C Durfee High,Public School,"   2,608",     175.5,11.157975460,12.6,12.1,13.3,177,40,291
  97.0,  89.4,  91.9,  95.1,08100605,Bristol-Plymouth Vocational Technical,Bristol-Plymouth Regional Vocational Technical - Bristol-Plymouth Vocational Technical,Public School,"   1,340",      99.2,6.641791045,13.2,13.3,12.7,78,40,89
  98.8,  88.4,  92.0,  94.2,08780605,Tri-County Regional Vocational Technical,Tri-County Regional Vocational Technical - Tri-County Regional Vocational Technical,Public School,     947,      84.2,8.130939810,11.2,11.3,10.8,57,39,77
  90.2,  79.1,  80.5,  85.1,08790605,Upper Cape Cod Vocational Technical,Upper Cape Cod Regional Vocational Technical - Upper Cape Cod Vocational Technical,Public School,     746,      71.7,12.064343164,9.8,10.1,9.7,31,36,90
  97.1,  93.2,  95.1,  93.2,08010605,Assabet Valley Vocational High School,Assabet Valley Regional Vocational Technical - Assabet Valley Vocational High School,Public School,"   1,145",     103.0,5.152838428,10.3,11.2,10.1,73,36,59
  98.7,  88.6,  92.2,  95.1,03360310,Abigail Adams Middle School,Weymouth - Abigail Adams Middle School,Public School,     828,      76.7,15.700483092,11.9,11.5,10.4,47,35,130
 100.0,  83.2,  92.6,  98.0,01850505,Milford High,Milford - Milford High,Public School,"   1,400",      95.2,5.857142857,13.1,13.2,13,70,33,82
 100.0,  69.1,  85.8,  95.2,00790410,Justus C. Richardson Middle School,Dracut - Justus C. Richardson Middle School,Public School,     933,      57.7,8.145766345,16.9,15.9,15.6,54,33,76
  64.5,  31.9,  83.4,  63.3,35030205, Collegiate Charter School of Lowell,Collegiate Charter School of Lowell (District) - Collegiate Charter School of Lowell,Charter School,"   1,180",      47.1,4.830508475,19.2,21.6,19.3,29,33,57
  94.3,  73.7,  86.8,  89.6,02010505,New Bedford High,New Bedford - New Bedford High,Public School,"   3,148",     176.2,16.010165184,13.8,15.5,15.1,232,32,504
 100.0,  93.1, 100.0,  97.9,06800310,Wilbraham Middle,Hampden-Wilbraham - Wilbraham Middle,Public School,     595,      43.5,13.109243697,13.8,13.4,12.5,41,32,78
  97.5,  81.4,  88.8,  96.3,02010410,Normandin Middle School,New Bedford - Normandin Middle School,Public School,"   1,164",      80.5,13.487972509,15,13.8,13.4,81,31,157
 100.0,  82.0,  93.7,  98.2,02440505,Randolph High,Randolph - Randolph High,Public School,     646,      50.9,18.111455108,10.9,12.6,11.6,147,31,117
  99.1,  85.3,  89.8,  99.1,08760605,Bay Path Regional Vocational Technical High School,Southern Worcester County Regional Vocational Technical - Bay Path Regional Vocational Technical High School,Public School,,     110.2,,10.2,10.6,,45,29,
 100.0,  86.6,  81.3,  96.4,02620305,Belmonte Saugus Middle,Saugus - Saugus Middle School,Public School,     652,      42.8,19.018404908,,14.6,15.5,,29,124
 100.0,  94.2,  92.6,  88.6,02290305,J Henry Higgins Middle,Peabody - J Henry Higgins Middle,Public School,"   1,448",      73.4,7.113259669,14.3,19.7,13.7,85,28,103
  88.0,  81.2,  87.8,  91.0,08530605,Northeast Metro Regional Vocational,Northeast Metropolitan Regional Vocational Technical - Northeast Metro Regional Vocational,Public School,"   1,343",     116.3,14.072970961,10.7,11,11.9,110,27,189
 100.0,  85.8,  86.1,  95.5,01860505,Millbury Junior/Senior High,Millbury - Millbury Junior/Senior High,Public School,     768,      64.6,10.546875,11.9,11.3,11.5,30,27,81
 100.0,  81.0,  97.0, 100.0,01280100,Consentino Middle School,Haverhill - Consentino Middle School,Public School,     775,      33.5,13.677419355,15.6,21.2,13,31,26,106
 100.0,  88.7,  97.2, 100.0,07120315,Monomoy Regional Middle School,Monomoy Regional School District - Monomoy Regional Middle School,Public School,     463,      35.3,10.367170626,10.9,12.8,10.8,24,26,48
  99.0,  82.6,  96.3,  88.6,00010405,Frolio Middle School,Abington - Abington Middle School,Public School,     668,      40.8,5.838323353,18.2,15.7,14.4,25,26,39
  98.4,  90.0,  88.0,  92.5,08210605,Diman Regional Vocational Technical High,Greater Fall River Regional Vocational Technical - Diman Regional Vocational Technical High,Public School,"   1,435",     125.2,6.898954704,11.2,11.6,11,30,25,99
 100.0,  90.1,  95.4,  96.8,00230305,John Glenn Middle,Bedford - John Glenn Middle,Public School,     625,      56.3,5.76,10.4,10.9,10.7,24,25,36
 100.0,  74.3,  85.7,  98.0,01330505,Holbrook Jr Sr High,Holbrook - Holbrook Middle High School,Public School,     640,      44.7,4.375,14.7,13.2,14,38,25,28
  52.8,  30.8,  84.6,  33.3,04700105,Mystic Valley Regional Charter School,Mystic Valley Regional Charter (District) - Mystic Valley Regional Charter School,Charter School,"   1,629",     103.7,7.120933088,15.2,15.7,15.9,90,24,116
 100.0,  94.1,  97.0,  95.7,03250310,South Middle School,Westfield - Westfield Middle School,Public School,     716,      67.6,12.849162011,11.6,11.4,10.9,8,24,92
 100.0,  95.3,  97.3, 100.0,00610305,Bellamy Middle,Chicopee - Bellamy Middle,Public School,     884,      73.7,19.683257919,11.7,11.2,10.8,93,23,174
  62.5,  26.7,  85.1,  60.4,35090305,Argosy Collegiate Charter School,Argosy Collegiate Charter School (District) - Argosy Collegiate Charter School,Charter School,     577,      37.4,29.462738302,13.4,15.3,12.9,107,23,170
 100.0,  75.7,  73.7,  96.8,00950320,Matthew J Kuss Middle,Fall River - Matthew J Kuss Middle,Public School,     768,      55.9,19.270833333,14,13.2,13.7,85,23,148
 100.0,  83.7,  92.1,  93.5,03160315,Webster Middle School,Webster - Webster Middle School,Public School,     622,      40.6,14.951768489,13.8,14.1,13.2,44,23,93
 100.0,  81.9,  92.8,  97.2,06220405,Frederick W. Hartnett Middle School,Blackstone-Millville - Frederick W. Hartnett Middle School,Public School,     408,      27.6,17.401960784,14.5,14.1,13.7,15,23,71
 100.0,  58.5,  82.7,  96.7,06150505,Athol High,Athol-Royalston - Athol High,Public School,     401,      28.9,16.957605985,10.9,12,13.3,36,23,68
 100.0,  92.0,  94.2,  97.3,07800505,Whitman Hanson Regional,Whitman-Hanson - Whitman Hanson Regional,Public School,"   1,122",      68.4,5.614973262,16.7,16.3,15,45,23,63
  97.2,  57.4,  71.6,  89.5,02770315,Southbridge Middle School,Southbridge - Southbridge Middle School,Public School,     452,      35.2,13.274336283,11.2,11.9,11.7,88,23,60
  99.7,  89.7,  97.7,  87.8,00710505,Danvers High,Danvers - Danvers High,Public School,     821,      68.3,5.968331303,11.3,12.7,10.6,42,23,49
 100.0,  82.3,  89.8,  96.8,06650505,Apponequet Regional High,Freetown-Lakeville - Apponequet Regional High,Public School,     736,      58.6,6.521739130,12.1,12.8,11.7,46,23,48
 100.0,  91.9,  96.7,  98.6,00730505,Dedham High,Dedham - Dedham High,Public School,     735,      61.5,6.394557823,10.7,11.2,11.5,68,23,47
  96.5,  82.2,  89.5,  92.0,01810505,Methuen High,Methuen - Methuen High,Public School,"   2,000",     141.9,13.6,13.6,13.4,12.6,164,22,272
 100.0,  95.3,  93.8,  96.2,00970048,Memorial Intermediate,Fitchburg - Memorial Middle School,Public School,     707,      48.3,17.114568600,13.6,13.6,12.2,51,22,121
 100.0,  86.4,  94.3,  98.0,01810055,Tenney Grammar School,Methuen - Tenney Grammar School,Public School,"   1,336",      92.8,8.982035928,14,13.6,12.7,51,22,120
  95.9,  86.7,  93.3,  89.8,02260505,Oxford High,Oxford - Oxford High,Public School,     548,      44.8,20.072992701,11.4,12.1,10.5,64,22,110
 100.0,  85.5,  94.8,  97.6,01010505,Franklin High,Franklin - Franklin High,Public School,"   1,694",     114.5,5.608028335,14.4,15.1,14.4,73,22,95
  99.5,  97.6,  98.0,  94.8,02390305,Plymouth South Middle,Plymouth - Plymouth South Middle,Public School,     681,      54.6,8.223201175,13,12.2,12,50,22,56
 100.0,  94.6,  96.5,  86.9,07100015,Miscoe Hill School,Mendon-Upton - Miscoe Hill School,Public School,     678,      51.4,7.817109145,14.8,14.1,13.2,1,22,53
  96.6,  65.0,  91.4,  90.5,00950017,Henry Lord Community School,Fall River - Henry Lord Community School,Public School,     883,      59.3,12.570781427,15.1,13.5,13.2,50,21,111
 100.0,  93.3,  95.6,  96.9,02270505,Palmer High,Palmer - Palmer High,Public School,     606,      60.2,12.211221122,10.4,10,9.2,70,21,74
  99.7,  95.1,  96.4, 100.0,02200305,Dr. Philip O. Coakley Middle School,Norwood - Dr. Philip O. Coakley Middle School,Public School,     761,      62.3,9.592641261,11.2,11.5,10.5,33,21,73
 100.0,  80.5,  95.1, 100.0,00790505,Dracut Senior High,Dracut - Dracut Senior High,Public School,     911,      57.6,7.903402854,14.6,15.4,14.5,46,21,72
 100.0,  91.0,  89.1,  91.5,08850605,Whittier Regional Vocational,Whittier Regional Vocational Technical - Whittier Regional Vocational,Public School,"   1,284",     106.0,5.062305296,11,11.8,11.2,58,21,65
 100.0,  85.3,  92.3,  98.5,02180505,Norton High,Norton - Norton High,Public School,     684,      58.2,5.847953216,12.8,11.8,11.5,12,21,40
  98.0,  78.7,  94.7,  88.2,03140305,Watertown Middle,Watertown - Watertown Middle,Public School,     562,      54.7,6.227758007,9.9,10.5,9.7,23,21,35
 100.0,  92.0, 100.0, 100.0,06250315,Raynham Middle School,Bridgewater-Raynham - Raynham Middle School,Public School,     736,      41.5,1.086956522,15,17.3,15.8,37,21,8
 100.0,  90.3,  91.7,  95.9,00520405,Carver Middle/High School,Carver - Carver Middle/High School,Public School,     741,      72.0,9.716599190,10.9,10.2,10.8,67,20,72
 100.0,  93.3,  96.6,  97.8,06250505,Bridgewater-Raynham Regional,Bridgewater-Raynham - Bridgewater-Raynham Regional,Public School,"   1,418",      87.2,5.007052186,16.6,15.7,15.8,63,20,71
  98.5,  82.5,  81.0,  98.6,08600605,Pathfinder Vocational Technical,Pathfinder Regional Vocational Technical - Pathfinder Vocational Technical,Public School,     632,      68.5,7.594936709,8.3,8.9,9,45,20,48
 100.0,  89.5,  86.8,  93.9,01100505,Grafton High School,Grafton - Grafton High School,Public School,     932,      68.0,4.184549356,13.2,12.9,12.9,0,20,39
 100.0,  64.0,  85.6,  93.8,00950340, Caleb Dustin Hunking School,Fall River - Stone PK-12 School,Public School,      96,      13.9,35.416666667,4.3,4.7,5,24,20,34
 100.0,  86.3,  97.3, 100.0,02430305,Atlantic Middle,Quincy - Atlantic Middle,Public School,     554,      36.6,5.415162455,16.5,14.9,14.6,29,20,30
  95.3,  78.0,  81.0,  92.3,08170505,Essex Technical High School,Essex North Shore Agricultural and Technical School District - Essex North Shore Agricultural and Technical School,Public School,"   1,661",     131.3,1.625526791,12,11.9,11.6,12,20,27
 100.0,  91.0,  90.6,  87.0,00360325, Barrett Russell Early Childhood Center,Bourne - Bourne Middle School,Public School,     461,      42.6,4.989154013,12.2,10.8,10,36,20,23
 100.0,  48.7,  74.8,  91.7,02770525,Southbridge Academy,Southbridge - Southbridge Academy,Public School,      47,      11.7,46.808510638,3.9,4.2,3.4,23,20,22
 100.0,  93.8,  93.8,  94.7,01530320,Sky View Middle School,Leominster - Sky View Middle School,Public School,     916,      48.0,11.135371179,15,18.5,15.1,89,19,102
 100.0,  91.9,  92.6,  95.8,07530505,Quabbin Regional High School,Quabbin - Quabbin Regional High School,Public School,     639,      40.6,10.328638498,13.8,15.6,14.5,26,19,66
 100.0,  83.7,  91.8,  96.6,06350305,Nessacus Regional Middle School,Central Berkshire - Nessacus Regional Middle School,Public School,     339,      24.5,15.634218289,13.6,14.6,13.3,11,19,53
 100.0,  82.5,  93.3, 100.0,02730305,Somerset Middle School,Somerset - Somerset Middle School,Public School,     602,      44.6,7.308970100,14.5,13.8,13.6,18,19,44
