Economically Disadvantaged %,Economically Disadvantaged category,Number of Students,School Code,School Name,Attending Coll./Univ. (#),Attending Coll./Univ. (%),Average Class Size,High School Graduates (#),MA Community College (%),MA State University (%),Private Four-Year (%),Private Two-Year (%),Public Four-Year (%),Public Two-Year (%),Univ.of Mass. (%)
46.4,<50%,"      1,421",04450105,Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,71,78,18.3,91,23.9,18.3,28.2,0,47.9,23.9,19.7
52, >50%,        587,00010505,Abington - Abington High,111,74.5,16.7,149,17.1,14.4,36,0,45.9,17.1,16.2
50.7, >50%,        497,04120530,Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School,27,45.8,17.3,59,7.4,11.1,63,0,29.6,7.4,18.5
51.6, >50%,"      1,713",06000505,Acton-Boxborough - Acton-Boxborough Regional High,384,86.1,17,446,5.5,2.6,46.1,0,47.7,6.3,15.1
53.6, >50%,        965,04300305,Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School,127,88.8,18.5,143,2.4,6.3,54.3,0,43.3,2.4,11.8
52.3, >50%,"      1,054",00050505,Agawam - Agawam High,130,61,14.2,213,20,16.2,43.1,0,33.8,23.1,6.2
50.2, >50%,        466,00070505,Amesbury - Amesbury High,82,75.9,12.7,108,15.9,12.2,32.9,0,50,17.1,20.7
50,<50%,         52,00070515,Amesbury - Amesbury Innovation High School,4,26.7,9,15,25,25,0,0,75,25,0
52.7, >50%,        868,06050505,Amherst-Pelham - Amherst Regional High,152,69.4,13.6,219,19.7,4.6,46.7,0,33.6,19.7,15.1
49.1,<50%,"      1,677",00090505,Andover - Andover High,335,88.4,14.8,379,5.4,2.1,50.7,0,43,6.3,20
53.6, >50%,        582,35090305,Argosy Collegiate Charter School (District) - Argosy Collegiate Charter School,35,55.6,19.2,63,54.3,2.9,14.3,0,31.4,54.3,22.9
46.9,<50%,"      1,504",00100505,Arlington - Arlington High,275,74.5,14.7,369,6.2,4.7,50.5,0,43.3,6.2,19.6
53, >50%,        630,06100505,Ashburnham-Westminster - Oakmont Regional High School,91,71.7,15.1,127,14.3,20.9,40.7,0,44,15.4,16.5
49.8,<50%,        842,00140505,Ashland - Ashland High,174,78,17.2,223,6.3,6.3,43.1,0,50.6,6.3,19.5
56.9, >50%,"      1,121",08010605,Assabet Valley Regional Vocational Technical - Assabet Valley Vocational High School,95,36.1,17.6,263,34.7,14.7,29.5,0,35.8,34.7,12.6
55.2, >50%,        366,06150505,Athol-Royalston - Athol High,27,37,14.2,73,37,14.8,37,0,25.9,37,7.4
46.6,<50%,"      1,288",04910550,Atlantis Charter (District) - Atlantis Charter School,42,57.5,21.2,73,19,21.4,31,0,50,19,19
53.5, >50%,        101,00160515,Attleboro - Attleboro Community Academy,5,9.4,16.2,53,40,20,0,0,40,60,0
54.3, >50%,"      1,800",00160505,Attleboro - Attleboro High,257,63.9,19.3,402,13.2,13.6,33.1,0,51,16,17.9
47.5,<50%,         59,00160705,Attleboro - Attleboro Virtual Academy,,,7,13,,,,,,,
50.2, >50%,        848,00170505,Auburn - Auburn Senior High,111,64.5,16.3,172,11.7,27,36,0,52.3,11.7,11.7
53.5, >50%,        316,00180510,Avon - Avon Middle High School,25,64.1,12.3,39,24,12,36,0,40,24,28
51.9, >50%,        372,06160505,Ayer Shirley School District - Ayer Shirley Regional High School,38,57.6,15.1,66,7.9,26.3,47.4,0,44.7,7.9,15.8
50.3, >50%,"      1,671",00200505,Barnstable - Barnstable High,179,57.4,13.8,312,24.6,11.7,36.9,0,38,25.1,12.8
55.1, >50%,        432,35020405,Baystate Academy Charter Public School (District) - Baystate Academy Charter Public School,26,61.9,14.7,42,42.3,19.2,34.6,0,23.1,42.3,3.8
52.2, >50%,        843,00230505,Bedford - Bedford High,185,85.3,12.9,217,10.3,2.7,43.8,0,45.4,10.8,16.8
48.6,<50%,        661,00240505,Belchertown - Belchertown High,112,76.2,14.1,147,21.4,13.4,44.6,0,33,22.3,4.5
48.6,<50%,        753,00250505,Bellingham - Bellingham High School,92,73,17.9,126,12,23.9,38,0,47.8,14.1,8.7
43.3,<50%,         30,00250510,Bellingham - Keough Memorial Academy,,,5.3,2,,,,,,,
49.3,<50%,"      1,347",00260505,Belmont - Belmont High,264,78.3,20.7,337,3.4,3.4,56.8,0,39.8,3.4,19.7
54.2, >50%,        373,04140305,Berkshire Arts and Technology Charter Public (District) - Berkshire Arts and Technology Charter Public School,24,61.5,18.2,39,8.3,20.8,37.5,0,54.2,8.3,16.7
50.2, >50%,        508,06180505,Berkshire Hills - Monument Mt Regional High,91,65.5,10.9,139,14.3,6.6,45.1,2.2,36.3,16.5,11
48.8,<50%,        533,06200505,Berlin-Boylston - Tahanto Regional High,57,77,15.5,74,15.8,7,45.6,0,38.6,15.8,10.5
52.1, >50%,"      1,300",00300505,Beverly - Beverly High,222,67.1,20.3,331,14.9,10.4,37.4,0,47.3,15.3,18
51.1, >50%,"      1,771",00310505,Billerica - Billerica Memorial High School,231,80.2,19.2,288,16,9.1,40.3,0,42.9,16.9,22.1
50.5, >50%,"      1,223",08050605,Blackstone Valley Regional Vocational Technical - Blackstone Valley,225,75.5,17.2,298,9.3,17.8,42.2,0,47.6,10.2,13.3
49.9,<50%,        417,06220505,Blackstone-Millville - Blackstone Millville RHS,64,62.7,12.7,102,10.9,20.3,39.1,0,42.2,18.8,10.9
52.5, >50%,        907,08060605,Blue Hills Regional Vocational Technical - Blue Hills Regional Vocational Technical,109,52.2,15.5,209,30.3,10.1,33,0,35.8,31.2,20.2
58.5, >50%,        260,00350541,Boston - Another Course To College,23,42.6,15.2,54,56.5,0,34.8,0,8.7,56.5,8.7
53.7, >50%,        175,00350548,Boston - Boston Adult Tech Academy,21,22.6,10.4,93,61.9,0,33.3,0,0,66.7,0
31,<50%,        481,00350546,Boston - Boston Arts Academy,66,59.5,14.9,111,16.7,16.7,43.9,1.5,37.9,16.7,12.1
47.7,<50%,        176,00350755,Boston - Boston Collaborative High School,7,23.3,6.8,30,100,0,0,0,0,100,0
49.6,<50%,        700,00350558,Boston - Boston Community Leadership Academy,50,45.9,15.2,109,28,4,26,0,46,28,40
61.6, >50%,        528,00350507,Boston - Boston International High School & Newcomers Academy,31,36.9,14.4,84,32.3,6.5,32.3,0,35.5,32.3,25.8
42.5,<50%,"      1,675",00350545,Boston - Boston Latin Academy,194,79.8,23.2,243,7.2,8.2,51,0,41.8,7.2,25.3
46.5,<50%,"      2,377",00350560,Boston - Boston Latin School,325,88.6,23.2,367,1.5,1.5,61.2,0,36.9,1.8,26.2
54.9, >50%,        514,00350505,Boston - Brighton High School,34,32.7,12.6,104,26.5,8.8,38.2,0,35.3,26.5,26.5
59.2, >50%,        365,00350525,Boston - Burke High School,34,40.5,12.1,84,44.1,17.6,17.6,0,38.2,44.1,17.6
55.5, >50%,        892,00350515,Boston - Charlestown High School,51,31.7,13.8,161,41.2,2,35.3,0,23.5,41.2,15.7
60.3, >50%,         68,00350518,Boston - Community Academy,,,9.9,13,,,,,,,
52.1, >50%,        342,00350581,Boston - Community Academy of Science and Health,17,31.5,12.9,54,35.3,5.9,35.3,0,23.5,41.2,17.6
49.3,<50%,        609,00350074,Boston - Dearborn 6-12 STEM Academy,25,31.3,19.2,80,40,0,36,0,24,40,20
57.9, >50%,"      1,217",00350530,Boston - East Boston High School,76,27.5,16.3,276,40.8,6.6,30.3,0,26.3,43.4,15.8
52.2, >50%,        600,00350535,Boston - English High School,51,38.6,15.3,132,52.9,5.9,15.7,0,31.4,52.9,25.5
57.1, >50%,        445,00350522,Boston - Excel High School,35,36.1,13.4,97,37.1,2.9,28.6,0,34.3,37.1,31.4
48.2,<50%,        380,00350540,Boston - Fenway High School,45,54.9,17,82,28.9,13.3,48.9,0,22.2,28.9,8.9
46,<50%,        124,00350543,Boston - Greater Egleston High School,9,26.5,10.7,34,77.8,0,11.1,0,11.1,77.8,11.1
53.4, >50%,        753,00350426,Boston - Henderson K-12 Inclusion School Upper,30,50.8,19.7,59,16.7,3.3,50,0,33.3,16.7,30
69.2, >50%,         78,00350750,Boston - Horace Mann School for the Deaf Hard of Hearing,,,5,5,,,,,,,
65.7, >50%,        131,00350655,Boston - Lyon High School,24,64.9,13.8,37,29.2,12.5,29.2,0,41.7,29.2,25
60.4, >50%,"      1,098",00350537,Boston - Madison Park Technical Vocational High School,37,22.4,16.4,165,48.6,10.8,21.6,2.7,27,48.6,16.2
47.9,<50%,        313,00350549,Boston - Margarita Muniz Academy,26,37.1,18.3,70,26.9,0,30.8,0,42.3,26.9,42.3
77.8, >50%,        239,00350363,Boston - McKinley Schools,6,28.6,6.2,21,50,0,33.3,0,16.7,50,16.7
47.8,<50%,        538,00350542,Boston - New Mission High School,47,59.5,16.3,79,12.8,4.3,42.6,0,42.6,14.9,36.2
46.5,<50%,"      1,528",00350575,Boston - O'Bryant School of Math & Science,199,72.1,21.3,276,7,1.5,45.2,0,47.7,7,40.7
52.7, >50%,        564,00350565,Boston - Quincy Upper School,40,65.6,19.8,61,7.5,7.5,60,0,32.5,7.5,25
48,<50%,        479,00350690,Boston - Snowden International High School,48,52.2,17.4,92,37.5,8.3,16.7,0,43.8,39.6,35.4
57.2, >50%,        916,00350657,Boston - TechBoston Academy,51,41.8,12.7,122,45.1,9.8,7.8,0,47.1,45.1,33.3
50.2, >50%,        715,04490305,Boston Collegiate Charter (District) - Boston Collegiate Charter School,62,82.7,19.8,75,3.2,4.8,53.2,0,43.5,3.2,33.9
