# Dropout All Grades,Average Class Size,Display,English Language Learner %,Female %,Male %,Number of Students,School Code,School Name,School Name/District,Students with Disabilities %,Total # of Classes,% Dropout,Economically Disadvantaged %
4,18.3,District ,16,53.6,46.4,"1,421",4450105, Abby Kelley Foster Charter Public School,Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,12.6,742,1.1,70.1
13,16.7,District ,6.8,47.7,52,587,10505, Abington High,Abington - Abington High,11.4,274,2.2,35.3
1,17.3,District ,7.4,49.3,50.7,497,4120530, Academy Of the Pacific Rim Charter Public School,Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School,28,202,0.4,61.6
2,17,District ,1.5,47.9,51.6,"1,713",6000505,Boxborough Regional High,Acton-Boxborough - Acton-Boxborough Regional High,10.6,742,0.1,8.8
1,18.5,District ,2.6,45.9,53.6,965,4300305, Advanced Math and Science Academy Charter School,Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School,6.8,495,0.2,14.3
19,14.2,District ,2.3,47.7,52.3,"1,054",50505, Agawam High,Agawam - Agawam High,15.8,578,1.9,37.4
10,12.7,District ,1.7,49.8,50.2,466,70505, Amesbury High,Amesbury - Amesbury High,18,395,2.2,28.5
5,9,District ,0,50,50,52,70515, Amesbury Innovation High School,Amesbury - Amesbury Innovation High School,46.2,61,10.6,65.4
10,13.6,District ,9,46.5,52.7,868,6050505, Amherst Regional High,Amherst-Pelham - Amherst Regional High,22.7,624,1.2,33.1
3,14.8,District ,0.5,50.5,49.1,"1,677",90505, Andover High,Andover - Andover High,16.1,995,0.2,13.3
11,19.2,District ,20.8,46.4,53.6,582,35090305, Argosy Collegiate Charter School,Argosy Collegiate Charter School (District) - Argosy Collegiate Charter School,26.3,298,4.2,77.7
6,14.7,District ,1.5,51.8,46.9,"1,504",100505, Arlington High,Arlington - Arlington High,11.4,912,0.4,12.1
4,15.1,District ,0.5,46,53,630,6100505, Oakmont Regional High School,Ashburnham-Westminster - Oakmont Regional High School,15.4,342,0.7,24.4
7,17.2,District ,4,50.2,49.8,842,140505, Ashland High,Ashland - Ashland High,13.8,386,0.9,23.9
15,17.6,District ,5.2,42,56.9,"1,121",8010605, Assabet Valley Vocational High School,Assabet Valley Regional Vocational Technical - Assabet Valley Vocational High School,26,602,1.3,42.8
10,14.2,District ,2.2,44.8,55.2,366,6150505, Athol High,Athol-Royalston - Athol High,24.9,174,2.7,60.9
1,21.2,District ,17.1,53.3,46.6,"1,288",4910550, Atlantis Charter School,Atlantis Charter (District) - Atlantis Charter School,14.7,493,0.3,64.6
6,16.2,District ,5,44.6,53.5,101,160515, Attleboro Community Academy,Attleboro - Attleboro Community Academy,21.8,46,12,60.4
16,19.3,District ,3.4,45.3,54.3,"1,800",160505, Attleboro High,Attleboro - Attleboro High,15.9,763,0.9,37.7
4,7,District ,1.7,52.5,47.5,59,160705, Attleboro Virtual Academy,Attleboro - Attleboro Virtual Academy,15.3,51,8,47.5
10,16.3,District ,1.7,49.4,50.2,848,170505, Auburn Senior High,Auburn - Auburn Senior High,11.1,622,1.4,29.5
6,12.3,District ,4.4,46.5,53.5,316,180510, Avon Middle High School,Avon - Avon Middle High School,21.8,250,2.9,49.4
7,15.1,District ,2.7,47.6,51.9,372,6160505, Ayer Shirley Regional High School,Ayer Shirley School District - Ayer Shirley Regional High School,17.5,241,1.9,30.9
41,13.8,District ,13.4,49.6,50.3,"1,671",200505, Barnstable High,Barnstable - Barnstable High,15.9,816,3,50.5
7,14.7,District ,6.7,44.9,55.1,432,35020405, Baystate Academy Charter Public School,Baystate Academy Charter Public School (District) - Baystate Academy Charter Public School,20.4,260,2.9,84.3
1,12.9,District ,0.7,47.6,52.2,843,230505, Bedford High,Bedford - Bedford High,13.9,539,0.1,12.7
10,14.1,District ,0.5,50.4,48.6,661,240505, Belchertown High,Belchertown - Belchertown High,15.6,420,1.5,21.5
10,17.9,District ,2.7,51.4,48.6,753,250505, Bellingham High School,Bellingham - Bellingham High School,18.2,353,1.8,29.6
2,5.3,District ,0,56.7,43.3,30,250510, Keough Memorial Academy,Bellingham - Keough Memorial Academy,100,38,14.3,56.7
0,20.7,District ,2.4,50.7,49.3,"1,347",260505, Belmont High,Belmont - Belmont High,9.9,470,0,12.8
5,18.2,District ,0.8,42.9,54.2,373,4140305, Berkshire Arts and Technology Charter Public School,Berkshire Arts and Technology Charter Public (District) - Berkshire Arts and Technology Charter Public School,20.9,186,2.9,56.3
12,10.9,District ,6.5,49.6,50.2,508,6180505, Monument Mt Regional High,Berkshire Hills - Monument Mt Regional High,12.8,378,2.3,37
1,15.5,District ,2.8,50.3,48.8,533,6200505, Tahanto Regional High,Berlin-Boylston - Tahanto Regional High,14.1,318,0.4,18.2
12,20.3,District ,3.5,47.6,52.1,"1,300",300505, Beverly High,Beverly - Beverly High,17.1,554,0.9,33.9
12,19.2,District ,2,48.8,51.1,"1,771",310505, Billerica Memorial High School,Billerica - Billerica Memorial High School,19.8,706,1.1,27
0,17.2,District ,0.5,49.3,50.5,"1,223",8050605, Blackstone Valley,Blackstone Valley Regional Vocational Technical - Blackstone Valley,10.6,800,0,15.5
7,12.7,District ,1.2,49.4,49.9,417,6220505, Blackstone Millville RHS,Blackstone-Millville - Blackstone Millville RHS,14.2,259,1.7,32.4
0,15.5,District ,1.5,47.5,52.5,907,8060605, Blue Hills Regional Vocational Technical,Blue Hills Regional Vocational Technical - Blue Hills Regional Vocational Technical,25,433,0,39.4
8,15.2,District ,14.2,41.2,58.5,260,350541, Another Course To College,Boston - Another Course To College,38.1,140,3.5,76.2
43,10.4,District ,67.4,46.3,53.7,175,350548, Boston Adult Tech Academy,Boston - Boston Adult Tech Academy,20.6,81,36.4,82.9
7,14.9,District ,4.8,68.2,31,481,350546, Boston Arts Academy,Boston - Boston Arts Academy,20.6,317,1.4,65.5
46,6.8,District ,26.7,51.7,47.7,176,350755, Boston Collaborative High School,Boston - Boston Collaborative High School,25,85,47.9,82.4
9,15.2,District ,33.1,50,49.6,700,350558, Boston Community Leadership Academy,Boston - Boston Community Leadership Academy,24.1,341,1.9,83.7
33,14.4,District ,91.1,38.5,61.6,528,350507, Boston International High School & Newcomers Academy,Boston - Boston International High School & Newcomers Academy,5.9,244,7.8,86
6,23.2,District ,0.2,57.3,42.5,"1,675",350545, Boston Latin Academy,Boston - Boston Latin Academy,4.2,583,0.5,45.1
4,23.2,District ,0.2,53.1,46.5,"2,377",350560, Boston Latin School,Boston - Boston Latin School,3.3,812,0.2,25.3
18,12.6,District ,51.8,45.1,54.9,514,350505, Brighton High School,Boston - Brighton High School,24.5,275,5.2,81.1
19,12.1,District ,25.2,40.8,59.2,365,350525, Burke High School,Boston - Burke High School,29.3,185,5.9,82.7
0,27,District ,33.3,48.2,51.9,27,350036, Carter School,Boston - Carter School,100,2,0,88.9
52,13.8,District ,36.1,44.5,55.5,892,350515, Charlestown High School,Boston - Charlestown High School,30.9,525,7.9,82.7
11,9.9,District ,14.7,39.7,60.3,68,350518, Community Academy,Boston - Community Academy,44.1,44,32.4,91.2
19,12.9,District ,20.5,48,52.1,342,350581, Community Academy of Science and Health,Boston - Community Academy of Science and Health,40.1,198,6.1,81.9
12,19.2,District ,31.2,50.4,49.3,609,350074,12 STEM Academy,Boston - Dearborn 6-12 STEM Academy,19.4,235,3.5,83.1
14,16.3,District ,42.9,42,57.9,"1,217",350530, East Boston High School,Boston - East Boston High School,22.6,461,1.4,79.7
12,15.3,District ,35.3,47.8,52.2,600,350535, English High School,Boston - English High School,24.7,431,2.4,83.7
27,13.4,District ,22,42.5,57.1,445,350522, Excel High School,Boston - Excel High School,27.6,238,6.2,84.3
1,17,District ,21.1,51.8,48.2,380,350540, Fenway High School,Boston - Fenway High School,22.9,197,0.3,81.3
13,10.7,District ,15.3,54,46,124,350543, Greater Egleston High School,Boston - Greater Egleston High School,24.2,97,15.9,92.7
7,19.7,District ,13.3,46.4,53.4,753,350426,12 Inclusion School Upper,Boston - Henderson K-12 Inclusion School Upper,38.8,337,2.7,73.6
0,5,District ,69.2,30.8,69.2,78,350750, Horace Mann School for the Deaf Hard of Hearing,Boston - Horace Mann School for the Deaf Hard of Hearing,97.4,156,0,80.8
3,13.8,District ,8.4,34.4,65.7,131,350655, Lyon High School,Boston - Lyon High School,43.5,63,2.3,71.8
28,16.4,District ,32.1,39.5,60.4,"1,098",350537, Madison Park Technical Vocational High School,Boston - Madison Park Technical Vocational High School,38.5,471,2.5,84.6
11,18.3,District ,46,52.1,47.9,313,350549, Margarita Muniz Academy,Boston - Margarita Muniz Academy,13.4,118,3.4,86.6
13,6.2,District ,22.2,21.8,77.8,239,350363, McKinley Schools,Boston - McKinley Schools,98.7,390,10.8,90.4
1,16.3,District ,14.7,52,47.8,538,350542, New Mission High School,Boston - New Mission High School,17.7,384,0.2,71.9
1,21.3,District ,0.9,53.2,46.5,"1,528",350575, O'Bryant School of Math & Science,Boston - O'Bryant School of Math & Science,5.6,544,0.1,60.7
0,19.8,District ,14.9,47.3,52.7,564,350565, Quincy Upper School,Boston - Quincy Upper School,19.2,239,0,73.6
14,17.4,District ,17.1,52,48,479,350690, Snowden International High School,Boston - Snowden International High School,22.8,225,2.9,84.3
15,12.7,District ,22.3,42.7,57.2,916,350657, TechBoston Academy,Boston - TechBoston Academy,24.6,438,2.6,83.6
3,19.8,District ,4.3,49.8,50.2,715,4490305, Boston Collegiate Charter School,Boston Collegiate Charter (District) - Boston Collegiate Charter School,19.6,297,0.9,45.9
130,12.7,District ,10.8,53,46.8,417,4240505, Boston Day and Evening Academy Charter School,Boston Day and Evening Academy Charter (District) - Boston Day and Evening Academy Charter School,38.4,491,37.4,78.2
8,14.6,District ,14.7,46.4,53.6,457,4110305, Boston Green Academy Horace Mann Charter School,Boston Green Academy Horace Mann Charter School (District) - Boston Green Academy Horace Mann Charter School,33.7,260,2.5,79.2
2,18.2,District ,18.9,49.9,50.1,673,4160305, Boston Preparatory Charter Public School,Boston Preparatory Charter Public (District) - Boston Preparatory Charter Public School,21.1,228,0.5,70.1
6,14,District ,1.1,51.4,48.3,381,360505, Bourne High School,Bourne - Bourne High School,16,201,1.6,33.3
15,16.5,District ,4.7,49.9,50,"1,761",400505, Braintree High,Braintree - Braintree High,24.1,847,0.9,28.4
5,16,District ,1.2,47.9,52.1,"1,381",6250505,Raynham Regional,Bridgewater-Raynham - Bridgewater-Raynham Regional,13.9,540,0.4,26.5
3,3.9,District ,0,38.5,61.5,13,6250415, Therapeutic Day School,Bridgewater-Raynham - Therapeutic Day School,100,13,27.3,76.9
4,18.7,District ,0,72,28,503,9100705, Bristol County Agricultural High,Bristol County Agricultural - Bristol County Agricultural High,14.5,265,0.8,32.8
15,17.3,District ,0.8,40.5,59.4,"1,326",8100605,Plymouth Regional Vocational Technical,Bristol-Plymouth Regional Vocational Technical - Bristol-Plymouth Vocational Technical,16.7,972,1.1,35.8
18,10,District ,17.3,40.7,59.4,214,440515, Brockton Champion High School,Brockton - Brockton Champion High School,37.4,131,21.4,82.7
100,16.1,District ,26.9,46.2,53.7,"3,829",440505, Brockton High,Brockton - Brockton High,13.9,"1,895",2.6,71.1
1,13.2,District ,14.3,49.1,50.9,336,440705, Brockton Virtual Learning Academy,Brockton - Brockton Virtual Learning Academy,23.2,190,0.7,79.8
101,13.6,District ,53.7,37.2,62.8,374,440520, Edison Academy,Brockton - Edison Academy,11.2,111,49.8,76.2
2,8.9,District ,23.7,39.8,60.2,118,440080, Frederick Douglass Academy,Brockton - Frederick Douglass Academy,28,44,18.2,86.4
2,6.8,District ,15,31.3,67.5,80,440400, Huntington Therapeutic Day School,Brockton - Huntington Therapeutic Day School,92.5,196,6.1,90
6,19.1,District ,8.9,51.7,48.3,"2,148",4280305, Brooke Charter School,Brooke Charter School (District) - Brooke Charter School,13.5,816,1.3,65.8
7,14.1,District ,2.5,48.6,50.8,"2,089",460505, Brookline High,Brookline - Brookline High,14.8,"1,179",0.3,17
8,12.7,District ,6.4,47.3,52.5,"1,018",480505, Burlington High,Burlington - Burlington High,11.1,558,0.9,20.3
17,13.9,District ,4,50.6,48.9,"1,889",490506, Cambridge Rindge and Latin,Cambridge - Cambridge Rindge and Latin,19.9,"1,053",0.9,43.1
7,15.8,District ,0.9,55.4,44.1,902,500505, Canton High,Canton - Canton High,10.9,501,0.8,21.4
8,14.6,District ,2.5,37.7,62.2,642,8150605, Cape Cod Region Vocational Technical,Cape Cod Regional Vocational Technical - Cape Cod Region Vocational Technical,24.6,395,1.2,48.9
5,13.7,District ,1.5,46.6,53.2,725,520405, Carver Middle/High School,Carver - Carver Middle/High School,21.8,506,1.4,34.1
5,14.6,District ,0.8,47.5,52.5,505,6350505, Wahconah Regional High,Central Berkshire - Wahconah Regional High,11.9,260,1,38
10,15.9,District ,1.6,49.7,50.1,"1,357",560505, Chelmsford High,Chelmsford - Chelmsford High,14.2,729,0.7,15.6
60,23.7,District ,36.5,45.3,54.6,"1,637",570505, Chelsea High,Chelsea - Chelsea High,12.3,614,4,79.4
44,6.2,District ,61.2,34.7,65.3,147,570515, Chelsea Opportunity Academy,Chelsea - Chelsea Opportunity Academy,8.8,76,37.6,76.9
14,7.8,District ,2.9,31.4,68.6,102,610021, Chicopee Academy,Chicopee - Chicopee Academy,32.4,87,22.6,87.3
21,14.6,District ,3.3,43.5,56.2,"1,161",610510, Chicopee Comprehensive High School,Chicopee - Chicopee Comprehensive High School,12.3,607,1.8,54.9
39,16.3,District ,6.7,51.5,48.3,931,610505, Chicopee High,Chicopee - Chicopee High,17.2,491,4.2,70.8
17,14.1,District ,26.5,49.5,50.5,204,4370505, City on a Hill Charter Public School,City on a Hill Charter Public School (District) - City on a Hill Charter Public School,21.1,82,7.4,75.5
11,15.5,District ,13.1,46.3,53.4,521,640505, Clinton Senior High,Clinton - Clinton Senior High,20.7,246,2.2,53.4
0,14.7,District ,11.5,50.6,49.4,340,4380505, Codman Academy Charter Public School,Codman Academy Charter Public (District) - Codman Academy Charter Public School,23.5,145,0,82.7
1,14.3,District ,0,48.8,50.9,428,650505, Cohasset High School,Cohasset - Cohasset High School,13.1,311,0.2,8.9
8,26.8,District ,21.2,50.6,49.4,"1,072",35030205, Collegiate Charter School of Lowell,Collegiate Charter School of Lowell (District) - Collegiate Charter School of Lowell,7.8,341,5.1,66.4
0,13,District ,6.9,56.9,43.1,290,4360305, Community Charter School of Cambridge,Community Charter School of Cambridge (District) - Community Charter School of Cambridge,17.2,132,0,61.4
1,19.3,District ,0.7,49.8,49.6,"1,326",6400505, Concord Carlisle High,Concord-Carlisle - Concord Carlisle High,15.5,544,0.1,8.9
8,15.2,District ,0.9,49.1,50.2,805,710505, Danvers High,Danvers - Danvers High,19.4,446,1,25.6
16,18.4,District ,1.3,49.9,50.1,"1,041",720505, Dartmouth High,Dartmouth - Dartmouth High,15.9,478,1.6,30.8
8,14.8,District ,4.3,47.4,51.3,716,730505, Dedham High,Dedham - Dedham High,18.4,388,1.2,31.4
10,11.4,District ,10.6,49,50.4,916,6450505,Yarmouth Regional High,Dennis-Yarmouth - Dennis-Yarmouth Regional High,18.2,627,1.5,54.6
14,16.1,District ,0.4,49.2,50.4,712,6500505,Rehoboth Regional High School,Dighton-Rehoboth - Dighton-Rehoboth Regional High School,15,350,2,25.1
2,13.5,District ,0.3,47.9,52.1,340,770505, Douglas High School,Douglas - Douglas High School,20.6,191,0.6,23.5
1,15.9,District ,0.2,49,50.7,659,6550505,Sherborn Regional High,Dover-Sherborn - Dover-Sherborn Regional High,15.3,357,0.2,5.8
14,18.2,District ,3.9,49.6,50,882,790505, Dracut Senior High,Dracut - Dracut Senior High,13.7,406,1.6,35.2
15,16.5,District ,1.2,52.3,47.6,922,6580505, Shepherd Hill Regional High,Dudley-Charlton Reg - Shepherd Hill Regional High,11.9,407,1.6,31.3
2,17.3,District ,0.5,49.6,50.4,949,820505, Duxbury High,Duxbury - Duxbury High,13.3,468,0.2,8.4
9,19.5,District ,1.2,45.4,54.5,953,830505, East Bridgewater JR./SR. High School,East Bridgewater - East Bridgewater JR./SR. High School,17.1,516,1.5,26.6
1,18.3,District ,0.3,48.2,51.8,816,870505, East Longmeadow High,East Longmeadow - East Longmeadow High,16.7,322,0.1,26.6
6,14.6,District ,1.2,50.5,48.3,410,860505, Easthampton High,Easthampton - Easthampton High,19.3,192,1.5,37.3
6,17.4,District ,1.5,49.7,50,"1,123",880505, Oliver Ames High,Easton - Oliver Ames High,18.3,521,0.5,19.8
3,18.3,District ,12.8,66.1,33.9,375,4520505, Edward M. Kennedy Academy for Health Careers (Horace Mann Charter School),Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District) - Edward M. Kennedy Academy for Health Careers (Horace Mann Charter School),23.2,161,0.8,82.4
5,17.6,District ,0.3,57.4,42.2,"1,627",8170505, Essex North Shore Agricultural and Technical School,Essex North Shore Agricultural and Technical School District - Essex North Shore Agricultural and Technical School,17.7,"1,252",0.3,22.9
4,4.9,District ,18.5,27.7,72.3,65,930030, Devens School,Everett - Devens School,86.2,106,20,89.2
75,22.2,District ,24.9,48.8,51.2,"2,353",930505, Everett High,Everett - Everett High,14.5,938,3.6,71.1
1,22.9,District ,11.3,49.4,50.6,"1,388",4100205, Excel Academy Charter School,Excel Academy Charter (District) - Excel Academy Charter School,19.2,419,0.1,67.2
20,15.2,District ,0.2,51.4,48.5,631,940505, Fairhaven High,Fairhaven - Fairhaven High,10.3,354,3.2,33.3
99,19.9,District ,18.8,49.3,50.5,"2,519",950505, B M C Durfee High,Fall River - B M C Durfee High,12.9,"1,026",4.2,77
62,9,District ,14.1,33.9,66.1,248,950525, Resiliency Preparatory Academy,Fall River - Resiliency Preparatory Academy,32.3,192,71.3,91.9
3,5.9,District ,9.9,28.7,71.3,101,950340,12 School,Fall River - Stone PK-12 School,85.2,119,9.4,97
15,14.6,District ,4.2,47.9,51.2,816,960505, Falmouth High,Falmouth - Falmouth High,18.1,680,1.9,36.9
18,18.1,District ,10.6,48.1,51.9,"1,271",970505, Fitchburg High,Fitchburg - Fitchburg High,20.1,538,1.4,70.6
22,8.1,District ,9.3,44.8,54.8,270,970510, Goodrich Academy,Fitchburg - Goodrich Academy,25.6,125,15,74.4
2,13.3,District ,0,55.3,43.9,228,4130505, Four Rivers Charter Public School,Four Rivers Charter Public (District) - Four Rivers Charter Public School,14.9,209,1.4,33.8
5,14.4,District ,1.1,47.3,52.4,805,990505, Foxborough High,Foxborough - Foxborough High,16.2,498,0.7,20.9
